Date,Item Code,Sales Qty,Price in USD,Purchase Date,ItemCode,Item Description,Purchase Qty,Purchase Amount,Supplier,Code,Group,Category,"Quantity
On Hand","Retail
Price","Opening
Cost USD",Color,Size,month_name,year
5/2/2021,647,-1,-6.5,6/4/2021,647,192503120558 SPORT T-SHIRT MEN CHAMPION m,1,7,Ali Taleb,647,SPORT T-SHIRT,MEN,0,10,7,ORANGE,m,June,2021
5/2/2021,531,1,39.01,10/2/2021,531,FX3427 SHOES WOMEN ADIDAS 41 1\2,2,56,Ali Taleb,531,SHOES,WOMEN,0,45,28,GREY,41 1\2,October,2021
5/3/2021,1281,1,16.13,3/5/2021,1281,SZ417 SHOES KIDS STRIDE RITE 28,3,30,Ali Taleb,1281,SHOES,KIDS,0,17,10,BLUE,28,March,2021
5/3/2021,1330,1,14.23,3/5/2021,1330,10000870 SHOES WOMEN TOMS 37.5,1,9,Ali Taleb,1330,SHOES,WOMEN,0,15,9,BLACK,37.5,March,2021
5/3/2021,576,1,52.17,10/2/2021,576,FV0218 SHOES MEN REEBOK 45,1,37,Ali Taleb,576,SHOES,MEN,0,60,37,BLACK,45,October,2021
5/4/2021,1236,1,19.26,4/24/2021,1236,833708-08 SHORTS MEN PUMA M,1,7,Ali Taleb,1236,SHORTS,MEN,0,25,7,BLACK,M,April,2021
5/4/2021,696,2,18.46,8/4/2021,696,00630-100275-P2 BOXER MEN PAIR OF THEIVES L,4,20,Ali Taleb,696,BOXER,MEN,0,15,5,MULTI,L,August,2021
5/4/2021,1060,1,2.96,8/4/2021,1060,MIX-P1 T-SHIRT MEN HANES MULTI,12,12,Ali Taleb,1060,T-SHIRT,MEN,0,3,1,WHITE,MULTI,August,2021
5/4/2021,984,1,9.88,8/4/2021,984,9CFCW3 CREWS MEN HANES M,1,3,Ali Taleb,984,CREWS,MEN,0,10,3,WHITE,M,August,2021
5/5/2021,772,1,17.64,8/4/2021,772,564285 JEANS PANT MEN GOODFELLOW 32,1,7,Ali Taleb,772,JEANS PANT,MEN,0,20,7,GREY,32,August,2021
5/5/2021,731,1,14.11,8/4/2021,731,M1CCBX5-P5 BOXER MEN HANES L,1,10,Ali Taleb,731,BOXER,MEN,0,20,10,MULTI,L,August,2021
5/5/2021,1038,1,13.23,8/4/2021,1038,9HPVP6-P6 TAGLESS V NECK MEN HANES M,1,6,Ali Taleb,1038,TAGLESS V NECK,MEN,0,20,6,WHITE,M,August,2021
5/5/2021,830,1,15.87,8/4/2021,830,558301 SHIRT MEN GOODFELLOW M,1,6,Ali Taleb,830,SHIRT,MEN,0,18,6,GREY,M,August,2021
